Name,Description
vanila, adorable local mix persian kitten looking for new home he is manila a snowy creamy fur kitten about 15 months old now he has long and fluffy hair he has a straight and fluffy tail too he has beautiful ocean blue eyes he has defeat and was deformed on with november he is feeding on nibbled plus canned fish now he is healthy very active and playful he is toilet petty trained could be let go at daytime am adoption fee would be paid to cat charity club can for reaching stray cats another am entering saying deposit would be fully refundable once the surgery done anyone interested please call 
clifford,clifford and his 3 shillings need a home mother is a mixed breed and father a spite adopted must have time to care for a puppy as he may cry for the first few days in a new home especially if there are no other dogs around also do bear in mind that growing up supplies will bite shoes and dig gardens so patience love and training are necessary vaccination and entering are compulsory cost to be borne by adopted please call if u can give him a good home
 teddy ,introducing teddy adult male ship tu 1 years old surrendered by previous owners due to relation character very friendly and attention seeking will not bark except at strangers outside or if created too long stay close to his people and always follows around mania and loves belly rubs enjoys car rides important note for interested parties teddy can only leave for a new home after april with teddy is for adoption as a single pet only he will try to mate with any female dog even if stayed and doesn get along well with other males teddy must be kept indoors as he is very attached to people he is also afraid of thunder teddy is not indoortoilet trained and must go for daily walks let outside to do his business teddy is already entered sudan dimandulkan not for anyone interested in breeding adoption fee to cover entering cost am and basic grooving donerm30 please drop me a callemail if you feel that you may be just the right person for this boy thank you
kiss,poor kiss was rescued off a road while hesse was wondering in the bush looking for food we bathed and fed her but in desperate needs to find her a loving owner because we have 3 dogs on our own she is more loving than snowhite that i rescued last time as she does not make much noise unless when she is hungry
sam,sam has lots of love to give he even has a love shape on his forehead he was rescued from a factory in klan saw tiny sam when he was about baths old full of fleas n tricks and mummy bloated after months of love fostering him he is now a bounty movable boy ready to guard you and give u licks and huge if u r ready for a new family member pus pm or whatsapp me by copying this message sam your name location thanks for reading sam profile
romeo roscoe,two brothers rome and rostov
two little kittens,my two little kitten are very healthy and like most kitten that age very playful too i found them about a month ago 87 when i was out on my run near my house and they just appeared out of nowhere from an abandoned house they looked really scared and hungry and was as if pleading with me to help them didn want to let me go and kept following me so i took them home and they have been under my care ever since unfortunately i can keep them as much as i would have loved to as a family member is allergic there fed only with special cat food and they have very good appetite in not sure of their exact age but in guessing they might probably be around 34 months and there both female and i presume there shillings i would prefer that they find a proper home and if possible they stay together hate to see them separated please adopt them you are most welcome to come over to visit them
kitten ra15,female 12mths done and deformed very playful and active open for married couple or still looking suitable adopted for her open for malaysian citizen only hope an animal lover can give her a good homeadopted by shah from bath cases on 7218
pepa pepper,hi i have another adult female cat who had babies there all about 6 weeks old now so they should be able to be given away this would probably be my last batch of kitten since i would finally want to say my cat after this i would like to keep them but my current circumstances does allow me to so in hoping to find interested pet lovers this one is called papa or pepper another spice name she pretty chill kitten doesn run around much but is pretty friendly and likes to play with her twin grey the difference between her and grey is she has brownish color on her legs grey can already eat wet food and a bit of dried food so food wise it shouldn be too much of a problem if you can maybe get one pack of kitten milk and feed her that until it finished in currently training her and her shillings to use the litter box and it seems that they know where to do their business now so that good if interested in one or more of them please calls me at or email me unfortunately i dont have whatsapp but if you need any additional pictures to be sent please let me know your email and ill send them over
milo,mild is gentle loves attention and very obedient when it comes to shower and cleaning him
